AD_ID;COD;DES
13;20043;Laboratorio 1
14;20044;Laboratorio (2)
15;20047;Matematica 1
43;20070;Laboratorio di statistica
44;20073;Contabilità aziendale e bilancio (processi e strumenti amministrativi nelle aziende turistiche)
45;20074;Economia aziendale (economia e management delle aziende di servizi )
46;20083;Sociologia del turismo
47;21735;Laboratorio 2 (economia aziendale)
48;22006;Economia dei sistemi d'impresa
49;22015;Istituzioni di diritto privato
50;22017;Istituzioni di economia
51;22019;Matematica generale
52;22023;Ragioneria generale ed applicata
53;22024;Sociologia
54;22011;Economia delle organizzazioni non profit
55;22018;Management delle organizzazioni non profit
56;22020;Metodi e modelli per le decisioni
57;22021;Organizzazione aziendale
58;22025;Statistica
59;22026;Statistica aziendale
60;22000;Analisi economica dell'impresa sociale
61;22001;Diritto commerciale
62;22002;Diritto commerciale delle organizzazioni non profit
63;22003;Diritto del lavoro delle organizzazioni non profit
64;22004;Diritto delle cooperative sociali
66;22013;Etica dell'economia
67;22014;Tecniche di fund-rising
68;22016;Istituzioni di diritto pubblico
69;22022;Programmazione e controllo
70;22027;Storia del non profit e delle cooperative sociali
71;22028;Teoria e tecniche del contracting-out
72;22030;Economia internazionale
73;22031;Economia dei gruppi, delle concentrazioni e delle cooperazioni
74;22032;Economia applicata
75;22033;Finanza aziendale
76;22034;Diritto fallimentare
77;22035;Valutazione delle politiche pubbliche
78;22037;Economia della sanità
79;21733;Laboratorio 2 (Studi di settore e d'impresa)
80;25000;Istituzioni di diritto comunitario
81;25001;Istituzioni di diritto privato - 12 CFU-
82;25002;Istituzioni di diritto pubblico
83;25003;Istituzioni di diritto romano (fondamenti di diritto europeo)
84;25004;Sistemi giuridici comparati
85;25022;Criminologia
86;25023;Diritto dell'ambiente
87;25024;Diritto canonico
88;25025;Diritto ecclesiastico
89;25026;Diritto fallimentare
90;25027;Diritto internazionale privato
91;25028;Diritto penale dell'economia
92;25029;Diritto pubblico dell'economia
93;25030;Diritto regionale
94;25031;Diritto sindacale
95;25032;Diritto dei trasporti
96;25033;Diritto tributario
97;25034;Storia delle codificazioni moderne
98;25035;Storia del diritto romano
100;25037;Legislazione turistica
101;25082;Laboratorio applicativo - La riforma del titolo V della costituzione
102;25083;Laboratorio applicativo - Gli strumenti del lavoro giuridico
103;25005;Diritto commerciale
104;25006;Diritto costituzionale
105;25008;Diritto internazionale
106;25009;Economia politica
107;25010;Filosofia del diritto
113;25017;Diritto penale
114;25020;Istituzioni di diritto processuale 
115;25066;Lingua straniera tedesco (prima lingua)
116;25067;Lingua straniera inglese (prima lingua)
117;25077;Altre abilità linguistiche
118;25078;Abilità informatiche
119;25079;Stages
144;25012;Storia del diritto europeo
143;25007;Diritto costituzionale (Comparato)
145;25043;Diritto commerciale (comparato)
146;25014;Diritto amministrativo (comparato)
147;25016;Diritto del lavoro (comparato)
148;25018;Diritto penale (comparato)
150;25021;Istituzioni di diritto processuale (comparato)
161;40036;Geometria
162;40059;Tecnologia dei materiali e chimica applicata
163;40120;Lingua straniera - inglese
164;40121;Lingua straniera - tedesco
165;40181;Lingua straniera - francese
166;40213;Calcolo 1
167;40214;Calcolo 2
168;40221;Economia applicata all'ingegneria
239;30596;Lingua tedesca I (B1)
240;30597;Lingua tedesca I (C1)
241;30598;Lingua tedesca I (D1)
242;30599;Lingua francese I (A1)
243;30600;Lingua francese I (B1)
244;30601;Lingua francese I (C1)
245;30602;Lingua francese I (D1)
246;30603;Lingua spagnola I (A1)
247;30604;Lingua spagnola I (B1)
248;30605;Lingua spagnola I (C1)
249;30606;Lingua spagnola I (D1)
250;30019;Didattica generale (A)
251;30020;Didattica generale (B)
252;30021;Didattica generale (C)
253;30022;Estetica (A)
254;30023;Estetica (B)
255;30024;Estetica (C)
271;30241;Storia della Chiesa medievale (A)
272;30242;Storia della Chiesa medievale (B)
273;30243;Storia della Chiesa medievale (C)
274;30244;Storia della Chiesa medievale (D)
275;30254;Storia della filosofia I (A)
276;30255;Storia della filosofia I (B)
277;30256;Storia della filosofia I (C)
278;30278;Storia greca (A)
279;30279;Storia greca (B)
280;30281;Storia medievale (A)
281;30282;Storia medievale (B)
282;30283;Storia medievale (C)
317;30470;Filosofia politica (B)
318;30632;Prova finale
319;30412;Psicologia generale (A)
320;30414;Attività propedeutiche (A)
321;30415;Attività propedeutiche (B)
322;30416;Attività propedeutiche (C)
323;30031;Filologia germanica (A)
324;30032;Filologia germanica (B)
325;30071;Glottologia (A)
326;30072;Glottologia (B)
331;30073;Greco principianti (A)
332;30079;Latino principianti (zero) (A)
333;30080;Latino principianti (zero) (B)
334;30081;Latino principianti (A1)
335;30082;Latino principianti (A2)
336;30083;Latino principianti (B1)
338;30098;Letteratura italiana (B)
339;30110;Letteratura latina medievale (A)
340;30111;Letteratura latina medievale (B)
341;30112;Letteratura latina medievale (C)
342;30190;Linguistica generale (C)
344;30264;Storia della lingua italiana (A)
345;30265;Storia della lingua italiana (B)
346;30266;Storia della lingua italiana (C)
347;30291;Avviamento alla bibliografia (A)
348;30028;Filologia classica (A)
349;30029;Filologia classica (B)
350;30030;Filologia classica (C)
351;30039;Filologia latina (A)
352;30040;Filologia latina (B)
353;30041;Filologia latina (C)
354;30063;Geografia (A)
1273;45007;Laboratorio di informatica: programmazione 1
1276;40076;Meccanica applicata alle macchine 1
355;30064;Geografia (B)
356;30065;Geografia (C)
361;30000;Agiografia (A)
362;30001;Agiografia (B)
363;30002;Agiografia (C)
364;30006;Archeologia e storia dell'arte greca e romana (A)
365;30007;Archeologia e storia dell'arte greca e romana (B)
366;30008;Archeologia medievale (A)
367;30009;Archeologia medievale (B)
368;30010;Archeologia medievale (C)
369;30191;Linguistica generale (D)
370;30200;Metodologia della ricerca archeologica (C)
371;30202;Museografia (B)
372;30207;Paleografia latina (A)
373;30203;Museografia (C)
374;30211;Paletnologia (A)
375;30212;Paletnologia (B)
376;30213;Paletnologia (C)
385;30232;Storia dell'arte medievale (A)
382;30227;Storia del teatro e dello spettacolo (B)
383;30226;Storia del teatro e dello spettacolo (A)
384;30228;Storia del teatro e dello spettacolo (C)
387;30234;Storia dell'arte medievale (C)
388;30235;Storia dell'arte moderna (A)
389;30236;Storia dell'arte moderna (B)
390;30237;Storia dell'arte moderna (C)
391;30238;Storia dell'arte moderna (D)
392;30275;Storia e critica del cinema (A)
393;30276;Storia e critica del cinema (B)
394;30277;Storia e critica del cinema (C)
395;30280;Storia greca (C)
400;30067;Geografia (E)
401;30068;Geografia (F)
410;30097;Letteratura italiana (A)
411;30099;Letteratura italiana (C)
416;30129;Lingua e traduzione francese I (A)
417;30130;Lingua e traduzione francese I (B)
419;30135;Lingua e traduzione russa I (A)
420;30136;Lingua e traduzione russa I (B)
421;30137;Lingua e traduzione russa I (C)
422;30140;Lingua e traduzione spagnola I (A)
423;30141;Lingua e traduzione spagnola I (B)
424;30142;Lingua e traduzione spagnola I (C)
425;30145;Lingua e traduzione tedesca I (A)
426;30146;Lingua e traduzione tedesca I (B)
427;30147;Lingua e traduzione tedesca I (C)
428;30150;Lingua francese I (A)
429;30182;Lingue e letterature anglo-americane (A)
432;44501;Analisi matematica 1
437;44502;Fisica generale 1
438;44503;Geometria e algebra
439;44504;Programmazione 1
440;30246;Storia della cultura inglese (A)
441;44505;Laboratorio di programmazione
442;30247;Storia della cultura inglese (B)
443;44518;Analisi matematica 2
444;44519;Fisica generale 2
445;30248;Storia della cultura ispanica (A)
446;44520;Programmazione 2
448;44521;Chimica
449;44522;Qualità e certificazione
450;30250;Storia della cultura tedesca (A)
451;30251;Storia della cultura tedesca (B)
452;30262;Storia della lingua francese (A)
453;30263;Storia della lingua inglese (A)
467;30033;Filologia germanica (C)
468;30034;Filologia germanica (D)
469;30045;Filologia slava (B)
470;30046;Filologia slava (C)
471;30089;Letteratura francese II (A)
472;30090;Letteratura francese II (B)
477;30115;Letteratura russa II (A)
478;30118;Letteratura spagnola II (A)
479;30119;Letteratura spagnola II (B)
480;30131;Lingua e traduzione francese II (A)
481;30132;Lingua e traduzione francese II (B)
482;30134;Lingua e traduzione inglese II (A)
483;30138;Lingua e traduzione russa II (A)
484;30139;Lingua e traduzione russa II (B)
485;30143;Lingua e traduzione spagnola II (A)
486;30144;Lingua e traduzione spagnola II (B)
487;30148;Lingua e traduzione tedesca II (A)
488;30149;Lingua e traduzione tedesca II (B)
489;30153;Lingua francese II (A)
494;30292;Filologia slava (A)
498;30152;Lingua francese I (C)
496;30314;Lingua e traduzione inglese II (B)
497;30151;Lingua francese I (B)
499;30158;Lingua inglese I (A)
500;30159;Lingua inglese I (B)
501;30160;Lingua inglese I (C)
502;30161;Lingua inglese I (D)
503;30166;Lingua spagnola I (A)
504;44529;Lingua inglese
505;44535;Architettura degli elaboratori
506;44536;Introduzione al diritto amministrativo
507;30167;Lingua spagnola I (B)
508;44541;Introduzione al diritto
509;30168;Lingua spagnola I (C)
513;44902;Matematica per l'economia
511;44542;Programmazione ad oggetti 1
512;30169;Lingua spagnola I (D)
514;30174;Lingua tedesca I (A)
515;30175;Lingua tedesca I (B)
516;44903;Matematica discreta 2
517;30176;Lingua tedesca I (C)
518;30177;Lingua tedesca I (D)
519;30185;Linguistica applicata (A)
520;30186;Linguistica applicata (B)
521;30187;Linguistica applicata (C)
526;30204;Nozioni giuridiche fondamentali (A)
527;30205;Organizzazione aziendale (A)
528;30206;Organizzazione aziendale (B)
529;30217;Sociolinguistica (A)
530;30218;Sociolinguistica (B)
531;30219;Sociolinguistica (C)
536;30350;Nozioni giuridiche fondamentali (B)
537;30351;Glottologia (C)
538;30403;Storia della cultura ispanica (B)
539;30069;Geografia del turismo (A)
540;30070;Geografia del turismo (B)
549;30155;Lingua francese II (B)
550;30156;Lingua francese II (C)
551;30157;Lingua francese II (D)
552;30162;Lingua inglese II (A)
556;30164;Lingua inglese II (C)
554;30165;Lingua inglese II (D)
555;30163;Lingua inglese II (B)
560;30172;Lingua spagnola II (C)
558;30170;Lingua spagnola II (A)
559;30171;Lingua spagnola II (B)
561;30173;Lingua spagnola II (D)
562;30178;Lingua tedesca II (A)
563;30179;Lingua tedesca II (B)
564;30180;Lingua tedesca II (C)
565;30181;Lingua tedesca II (D)
567;30432;Lingua spagnola I (E)
568;30011;Architettura del paesaggio (A)
569;30012;Architettura del paesaggio (B)
570;30016;Archivistica (D)
571;30017;Cultura classica (A)
573;30026;Etnomusicologia (B)
574;30027;Etnomusicologia (C)
575;30036;Filologia italiana (B)
576;30195;Metodologia della ricerca storica (A)
578;30197;Metodologia della ricerca storica (C)
579;30198;Metodologia della ricerca archeologica (A)
580;30199;Metodologia della ricerca archeologica (B)
585;30208;Paleografia latina (B)
590;30003;Antropologia (A)
591;30004;Antropologia (B)
592;30005;Antropologia (C)
593;30013;Archivistica (A)
594;30014;Archivistica (B)
595;30015;Archivistica (C)
600;30066;Geografia (D)
605;30209;Paleografia latina (C)
606;30210;Paleografia latina (D)
10;20034;Economia pubblica
11;20041;Istituzioni di diritto privato
12;20042;Istituzioni di diritto pubblico
16;20048;Matematica 2
17;20053;Politica economica
846;35012;Economia politica (A) - Elementi di microeconomia
847;35013;Economia politica (B) - Elementi di macroeconomia e contabilità nazionale
848;35018;Introduzione alla psicologia (A) - Paradigmi teorici, metodi di ricerca e ambiti di studio della psicologia
849;35021;Matematica per le scienze sociali (A) - Elementi di calcolo delle probabilità e di analisi delle funzioni
850;35022;Matematica per le scienze sociali (B) - Esercitazioni
851;35060;Sociologia (Istituzioni) (A) - Concetti sociologici di base
852;35061;Sociologia (Istituzioni) (B) - La società moderna e contemp. : caratteri, istituzioni e principi basilari di funzionamento
853;35062;Sociologia (Istituzioni) (C) - Esercitazioni
854;35080;Storia contemporanea (A) - L'Italia e l'Europa tra le due guerre mondiali
856;35082;Storia del pensiero sociologico (A) - Comte, Marx, Durkheim, Weber
857;35083;Storia del pensiero sociologico (B) - Simmel, Pareto, Parsons
858;35084;Storia del pensiero sociologico (C) - Esercitazioni
859;35087;Storia moderna (A) - Storia e società nell'Italia moderna (XV - XVIII sec.)
860;35095;Scienza politica (A) - Teoria della democrazia
861;35097;Competenze linguistiche (A) - Lingua straniera inglese
862;35098;Competenze linguistiche (B) - Lingua straniera inglese
863;35107;Competenze informatiche
864;35322;Introduzione alla psicologia (A) - Processi di base e metodi di ricerca in psicologia
865;35038;Metodologia delle scienze sociali (A) - Concetti di base e principali approcci nelle scienze sociali
866;35065;Sociologia dell'educazione (A) - Processi educativi e realtà italiana
867;35067;Sociologia della devianza (A) - Teoria della devianza e dei processi di vittimizzazione
868;35070;Sociologia della famiglia (A) - La famiglia nelle società occidentali
869;35093;Metodologia delle scienze sociali (B) - Il paradigma dell'individualismo metodologico
870;35094;Metodologia delle scienze sociali (C) - Esercitazioni
871;35099;Competenze linguistiche (A) - Lingua straniera tedesco
872;35100;Competenze linguistiche (A) - Lingua straniera francese 
873;35101;Competenze linguistiche (A) - Lingua straniera spagnolo
874;35120;Psicologia sociale (A) - La costruzione del mondo sociale: cognizioni, emozioni e atteggiamenti
875;35121;Psicologia sociale (B) - Interazioni sociali e processi di gruppo
876;35126;Filosofia della scienza (A) - Il positivismo e le relative critiche ermeneutiche
877;35150;Sociologia (Corso avanzato) (A) - Analisi classificatoria, tipologica e strutturale dell'azione e della relazione sociale
878;35151;Sociologia (Corso avanzato) (B) - Analisi strutturale e funzionale dell'interazione sociale
879;35156;Sociologia del mutamento (A) - Forme del mutamento sociale
880;35176;Sociologia delle relazioni internazionali (A) - Struttura e processi del sistema internazionale
881;35188;Statistica (A) - Una lettura quantitativa dei fenomeni sociali
882;35189;Statistica (B) - Laboratorio statistico
883;35191;Statistica sociale (A) - Le fonti della statistica e la raccolta dei dati
884;35209;Sociologia del lavoro (A)
885;35221;Sociologia dello sviluppo (A) - La teoria sociologica ed i processi di sviluppo delle società moderne
886;35265;Diritto pubblico comunitario (A)
887;35271;Istituzioni di diritto pubblico (A) - Ordinamenti giuridici, fonti e diritti costituzionali
888;35277;Sociologia dei gruppi (A) - Stratificazione sociale
889;35287;Statistica per la ricerca sociale (A) - L'analisi multivariata dei dati nella ricerca sociologica
890;35086;Storia delle dottrine politiche (A) - Dalla politica alla Costituzione, un percorso millenario
891;35088;Storia moderna (B) - Società e politica nell'Europa moderna (XV - XVIII sec.)
892;35096;Scienza politica (B) - Modelli di Stato
893;35195;Storia delle istituzioni politiche e sociali (A) - Stato e potere nell'Occidente europeo
897;35134;Politica comparata (A) - Sviluppo politico europeo
895;35063;Sociologia del mutamento (B) - Il conflitto sociale nella modernità
896;35039;Metodologia e tecniche della ricerca sociale (A) - Disegno della ricerca e raccolta dei dati qualitativi e quantitativi
898;35148;Sistemi economici comparati (A) - Analisi economica dei capitalismi
899;35152;Sociologia dei processi culturali (A)
900;35154;Sociologia del diritto (A) - Diritto e società. Teoria e ricerca empirica
901;35158;Sociologia del turismo (A) - L'analisi del fenomeno turistico nel quadro del cambiamento sociale: concetti, tipologie, teorie
902;35163;Sociologia dell'organizzazione (A)
903;35184;Sociologia politica (A) - Le concezioni della democrazia
904;35185;Sociologia politica (B) - Lo spazio pubblico nella società moderna
905;35211;Sociologia della comunicazione (A) - Introduzione alla comunicazione
907;35266;Diritto pubblico italiano e comparato (A)
908;35276;Sistemi sociali comparati (A) - Sistemi sociali comparati
909;35279;Sociologia economica (A) - Il ruolo delle istituzioni nell'economia
910;35280;Sociologia economica (B) - Economia ed istituzioni in Italia
911;35281;Sociologia urbana e rurale (A) - La storia e la teoria sociologica delle città e delle regioni
912;35283;Sociologia dell'educazione (A) - Lo studio dei processi educativi
913;35285;Statistica per la ricerca sociale (A) - Introduzione all'analisi statistica dei dati nella ricerca sociologica
914;35286;Statistica per la ricerca sociale (B) - L'analisi multivariata dei dati nella ricerca sociologica
915;35008;Diritto civile (A) - Principi e nozioni fondamentali del diritto civile
916;35009;Diritto di famiglia (A) - Diritto di famiglia con particolare attenzione agli istituti dell'adozione e dell'affidamento
917;35024;Metodi e tecniche del servizio sociale (A) - I fondamenti del lavoro sociale
918;35025;Metodi e tecniche del servizio sociale (B) - Analisi del processo di aiuto professionale nel lavoro sociale
919;35026;Metodi e tecniche del servizio sociale (C) - Esercitazioni
920;35046;Principi e fondamenti del servizio sociale (A) - Origini e sviluppo della professione di assistente sociale
921;35047;Principi e fondamenti del servizio sociale (B) - Orientamenti valoriali e operativi del sevizo sociale
922;35048;Psicologia dello sviluppo (A) - I fondamenti teorici e metodologici della disciplina
923;35054;Sociologia (A) - Concetti sociologici di base per l'analisi delle strutture e dei processi sociali
924;35055;Sociologia (B) - Principali teorie ed agenti della socializzazione
925;35072;Sociologia delle relazioni etniche (A) - Etnie popoli minoranze: diritti umani e processi sociali
30041;65;ELEMENTI DI CRIMINOLOGIA (S)
1809;45204;Fisica computazionale 1 ^ unità
1810;45226;Relatività 1^ unità
1811;45230;Struttura della materia 2^ unità
1821;45192;Progettazione automatica
1822;45193;Sicurezza informatica
1824;45143;Metodi e modelli per le scelte economiche
1827;45196;Calcolo delle variazioni
208;30116;Letteratura spagnola I (A)
209;30120 ;Letteratura tedesca I e II (A)
210;30121;Letteratura tedesca I e II (B)
211;30122;Letteratura tedesca I e II (C)
212;30123;Letteratura tedesca I e II (D)
213;30124;Letteratura tedesca I e II (E)
214;30125;Letteratura tedesca I e II (F)
215;30126;Letterature comparate (A)
219;30188;Linguistica generale (A)
217;30127;Letterature comparate (B)
218;30128;Letterature comparate (C)
220;30189;Linguistica generale (B)
221;30192;Logica (A)
222;30193;Logica (B)
223;30220;Sociologia della letteratura (A)
224;30221;Sociologia della letteratura (B)
225;30222;Sociologia della letteratura (C)
226;30252;Storia della filosofia (A)
227;30253;Storia della filosofia (B)
228;30260;Storia della filosofia antica (A)
229;30261;Storia della filosofia medievale (A)
230;30273;Storia della scienza e delle tecniche (A)
231;30294;Letteratura spagnola I (B)
232;30295;Letteratura inglese I (B)
234;30591;Lingua inglese I (A1)
235;30592;Lingua inglese I (B1)
236;30593;Lingua inglese I (C1)
237;30594;Lingua inglese I (D1)
238;30595;Lingua tedesca I (A1)
256;30050;Filosofia morale (B)
257;30051;Filosofia morale (C)
258;30052;Filosofia morale (D)
259;30060;Filosofia teoretica (C)
260;30061;Filosofia teoretica (D)
261;30062;Filosofia teoretica (E)
262;30077;Italiano scritto (A)
263;30078;Italiano scritto (B)
264;30214;Pedagogia generale (A)
265;30215;Pedagogia generale (B)
266;30216;Pedagogia generale (C)
267;30225;Storia contemporanea (C)
283;30284;Storia medievale (D)
269;30240;Storia dell'Europa orientale (B)
270;30239;Storia dell'Europa orientale (A)
284;30285;Storia moderna (A)
285;30286;Storia moderna (B)
286;30287;Storia moderna (C)
287;30288;Storia romana (A)
288;30289;Storia romana (B)
289;30290;Storia romana (C)
290;30325;Italiano scritto (C)
291;30417;Sociologia generale (A)
292;30418;Sociologia generale (B)
293;30422;Filosofia dei linguaggi (A)
294;30423;Filosofia dei linguaggi (B)
295;30424;Filosofia dei linguaggi (C)
296;30607;Lingua inglese II (A1)
300;30610;Lingua spagnola II (A1)
298;30608;Lingua tedesca II (A1)
299;30609;Lingua francese II (A1)
301;30053;Filosofia politica (A)
302;30074;Informatica umanistica (A)
303;30075;Informatica umanistica (B)
304;30076;Informatica umanistica (C)
305;30194;Logica matematica (A)
306;30257;Storia della filosofia II (A)
307;30258;Storia della filosofia II (B)
308;30259;Storia della filosofia II (C)
309;30267;Storia della musica (A)
310;30268;Storia della musica (B)
311;30269;Storia della musica (C)
313;30271;Storia della musica (E)
314;30272;Storia della musica (F)
315;30274;Storia della scienza e delle tecniche (B)
316;30421;Stage e tirocini
615;30229;Storia dell'arte contemporanea (A)
617;30231;Storia dell'arte contemporanea (C)
642;30085;Legislazione dei beni culturali (A)
650;30543;Tirocinio (L-FIL-LET/13)
651;30544;Tirocinio (M-STO/08)
652;30545;Tirocinio (M-STO/09)
653;30546;Tirocinio (L-ANT/01)
654;30547;Tirocinio (L-ANT/07)
655;30548;Tirocinio (L-ANT/08)
656;30549;Tirocinio (L-ART/07)
657;30550;Tirocinio (L-ART/01)
658;30551;Tirocinio (L-ART/02)
659;30552;Tirocinio (L-ART/03)
660;30505;Museografia (D)
661;30611;Lingua russa II (A1)
662;30612;Lingua russa II (B1)
663;30613;Lingua russa II (C1)
680;30293;Geografia (G)
681;44904;Matematica I
682;44905;Matematica II
683;44906;Matematica applicata
684;44910;Fondamenti di informatica
685;44911;Chimica
686;44912;Fisica generale I
687;44913;Fisica generale II
688;44923 ;Fondamenti informatica II
689;44932;Sistemi operativi
690;44935;Economia e organizzazione aziendale I
691;44941;Chimica
692;44943;Fisica matematica
693;44506;Analisi numerica
694;44507;Programmazione 3
695;44508;Reti di calcolatori 1
696;44509;Elettrotecnica
697;44510;Ingegneria del software
698;44517;Elettronica
699;44523;Introduzione alla propagazione elettromagnetica
700;44526;Economia e organizzazione aziendale 2
701;44530;Economia e organizzazione aziendale 1
702;44531;Sistemi operativi 1
703;44543;Programmazione ad oggetti: aspetti avanzati
704;44551;Reti di telecomunicazioni
705;44907;Metodi matematici e statistici
706;44914;Elettronica
707;44915;Elettronica dei sistemi digitali
711;44922;Basi di dati
709;44916;Automazioni industriali I
710;44918;+
712;44924;Informatica industriale I
713;44926;Linguaggi e traduttori
714;44927;Reti di calcolatori
715;44928;Sistemi informativi I
716;44929;Sistemi informativi II
717;44933;Sistemi operativi II
762;44938;Gestione informazione aziendale I
719;44511;Reti di calcolatori 2
720;44512;Comunicazioni multimediali
721;44513;Economia e gestione imprese
722;44514;Matematica discreta
723;44515;Complementi di economia
724;44516;Complementi di elettrotecnica
725;44524;Commercio elettronico
726;44525;Teoria e tecniche del riconoscimento
727;44527;Stage aziendali e tirocinio
728;44528;Prova finale
729;44532;Basi di dati e sistemi informativi 1
730;44533;Telematica
731;44534;Sistemi di telecomunicazioni
733;44538;Algoritmi e strutture dati 1
734;44539;Sistemi operativi e sicurezza
735;44540;Basi di dati
736;44545;Programmazione di reti
737;44546;Sistemi informativi
738;44547;Introduzione alle Comunicazioni mobili
739;44548;Laboratorio di Data mining
741;44550;Laboratorio di sistemi informativi
1104;45056;Fisica generale 2^ unità
1105;45057;Fisica generale 3^ unità
1107;43037;Geometria/Calcolo numerico
1118;43049;Matematica applicata
1124;45044;Fisica generale 4 ^ unità
1125;43076;Chimica con esercitazioni di laboratorio
1126;45046;Analisi matematica 4^ unità (compatta)
1127;43077;Chimica con esercitazioni di laboratorio
1129;45048;Laboratorio di fisica II
1146;45064;Introduzione alla meccanica statistica 1^ unità
1148;45067;Meccanica analitica 1^ unità
1150;45054;Chimica generale con esercitazioni di laboratorio
1164;42051;Tecnica urbanistica
1153;45066;Laboratorio di fisica III
1154;40190;Sperimentazioni di chimica+complementi
1161;45062;Geometria 3^ unità
1163;45069;Metodi informatici 1^ unità
1166;43007;Metodi matematici e statistici
1167;45132;Fisica nucleare e subnucleare 2 ^ unità
1168;45134;Meccanica del continuo
1169;43008;Meccanica dei fluidi
1170;43009;Geotecnica
1171;43010;Principi di ingegneria chimica
1172;43012;Sperimentazioni di chimica
1173;43013;Sperimentazioni di chimica
1174;43014;Elettronica
1175;43015;Meccanica applicata alle macchine
1176;43025;Meccanica dei fluidi - Idraulica
1177;43026;Elettrotecnica - Elettronica
1178;43028;Ingegneria sanitaria ambientale + Impianti di trattamento sanitario ambientale
1179;43029;Ingegneria sanitaria ambientale + Impianti di trattamento sanitario ambientale
1180;43031;Strumenti e misure elettroniche
1181;43047;Ecologia fond. anal. sistemi ecologici
1182;43048;Diritto penale dell'economia
1183;43052;Fisica tecnica - Interazione macchine/ambiente
1184;43053;Fisica dell'atmosfera
1185;43056;Diritto e legislazione dell'ambiente
1186;43057;Selvicoltura con elementi di botanica forestale
1187;43058;Pianificazione territoriale
1188;43059;Ingegneria sanitaria ambientale + Impianti di trattamento degli effluenti inquinanti
1189;43060;Ingegneria sanitaria ambientale + Impianti di trattamento degli effluenti inquinanti
1190;43061;Idraulica
1200;43085;Calcolo delle probabilità
1201;43086;Fisica matematica
1202;43087;Fisica matematica
1203;40091;Complementi di scienza delle costurzini ed elementi strutturali
1206;40102;Idrologia fisica
1207;40106;Laboratorio di fisica ambientale
1208;40108;Meteorologia
